brand,category,cellular_technology,image,model_name,mrp,os,price,ratings,ratings_count,size,title
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41O9ez9DyNL._SX300_SY300_QL70_ML2_.jpg,Samsung Galaxy M13,"₹17,999",Android 12.0,"11,199", 4.1 ,"28,488 ratings",,"        Samsung Galaxy M13 (Midnight Blue, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus       "
Samsung,Mobile,128 GB,https://m.media-amazon.com/images/I/41Rkxw78fIL._SX300_SY300_QL70_ML2_.jpg,Samsung Galaxy M13,"₹17,999",4G,"11,199", 4.1 ,"28,488 ratings",,"        Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus       "
Samsung,Mobile,128 GB,https://m.media-amazon.com/images/I/41Jd5xDV2HL._SX300_SY300_QL70_ML2_.jpg,Samsung Galaxy M13,"₹17,999",4G,"11,199", 4.1 ,"28,488 ratings",,"        Samsung Galaxy M13 (Stardust Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus       "
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41vQ5pqPAzL._SX300_SY300_QL70_ML2_.jpg,Samsung M04,"₹13,499",Android 12.0,"7,499", 3.9 ,"13,084 ratings",,"        Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera       "
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41rxSxVXs7L._SX300_SY300_QL70_ML2_.jpg,Samsung M04,"₹13,499",Android 12.0,"7,499", 3.9 ,"13,084 ratings",,"        Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera       "
Samsung,Mobile,4G,https://m.media-amazon.com/images/I/41rxSxVXs7L._SX300_SY300_QL70_ML2_.jpg,Samsung M04,"₹11,499",Android 12.0,"6,499", 3.9 ,"13,084 ratings",,"        Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera       "
OnePlus,Mobile,5G,https://m.media-amazon.com/images/I/41M++0dpooL._SY300_SX300_.jpg,OnePlus Nord CE 2 Lite 5G,"₹19,999",OxygenOS,"17,999", 4.2 ,"138,130 ratings",,"        OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)       "
OnePlus,Mobile,"5G, 4G LTE",https://m.media-amazon.com/images/I/41pQ4gJMwEL._SX300_SY300_QL70_ML2_.jpg,OnePlus 10R,"₹38,999",OxygenOS,"27,999", 4.3 ,"17,669 ratings",,"        OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)       "
Xiaomi,Mobile,Wi-Fi,https://m.media-amazon.com/images/I/41fITfJ3uPL._SX300_SY300_QL70_ML2_.jpg,Unlocked for All Carriers,"₹18,999",6.7 Inches,"9,999", 4.1 ,"3,768 ratings",,"        Xiaomi Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)       "
,Mobile,,https://m.media-amazon.com/images/I/41Rkxw78fIL._SX300_SY300_QL70_ML2_.jpg,,"₹14,999",,"9,199", 4.1 ,"28,488 ratings",,"        Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus       "
